Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0208741832	30.6520412	30.6520412	30.6520412	30.6520412	0	0	0	0	0	0	3
2	3	0	0.0417483664	67.0123955	48.8322184	30.6520412	67.0123955	18.1801772	0	0	0	0	0	3
3	3	0	0.0626225495	120.384919	72.6831185	30.6520412	120.384919	42.0310773	0	0	0	0	0	3
4	3	0	0.0834967327	191.18665	102.309001	30.6520412	191.18665	71.6569603	0	0	0	0	0	3
5	4	0	0.104370916	285.882812	139.023764	30.6520412	285.882812	108.371722	0	0	0	0	0	3
6	4	0	0.125245099	398.76373	182.313758	30.6520412	398.76373	151.661717	0	0	0	0	0	3
7	5	0	0.146119282	536.117079	232.85709	30.6520412	536.117079	202.205048	0	0	0	0	0	3
8	5	0	0.166993465	703.181364	291.647624	30.6520412	703.181364	260.995583	0	0	0	0	0	3
9	6	0	0.187867649	905.372662	359.839295	30.6520412	905.372662	329.187254	0	0	0	0	0	3
10	6	0	0.208741832	1146.21686	438.477052	30.6520412	1146.21686	407.82501	0	0	0	0	0	3
11	6	0	0.229616015	1570.54956	541.392735	30.6520412	1570.54956	510.740694	0	0	0	0	0	3
12	7	0	0.250490198	1948.76291	658.673582	30.6520412	1948.76291	628.021541	0	0	0	0	0	3
13	7	0	0.271364381	2291.67334	784.288948	30.6520412	2291.67334	753.636907	0	0	0	0	0	3
14	8	0	0.292238564	2585.00753	912.911704	30.6520412	2585.00753	882.259663	0	0	0	0	0	3
15	8	0	0.313112748	2842.33837	1041.54015	30.6520412	2842.33837	1010.88811	0	0	0	0	0	3
16	8	0	0.333986931	2984.77924	1162.99259	30.6520412	2984.77924	1132.34055	0	0	0	0	0	3
17	9	0	0.354861114	3096.74818	1276.74292	30.6520412	3096.74818	1246.09088	0	0	0	0	0	3
18	9	0	0.375735297	3188.01187	1382.92453	30.6520412	3188.01187	1352.27249	0	0	0	0	0	3
19	10	0	0.39660948	3247.16077	1481.04223	30.6520412	3247.16077	1450.39018	0	0	0	0	0	3
20	10	0	0.417483664	3284.05138	1571.19268	30.6520412	3284.05138	1540.54064	0	0	0	0	0	3
21	11	0	0.438357847	3293.04278	1653.18555	30.6520412	3293.04278	1622.5335	0	0	0	0	0	3
22	11	0	0.45923203	3302.31448	1728.14595	30.6520412	3302.31448	1697.49391	0	0	0	0	0	3
