Iteration	CPUTime	PhysTime	Travels
1	4	0	0.0157222002
2	5	0	0.0314444003
3	5	0	0.0471666005
4	6	0	0.0628888007
5	7	0	0.0786110009
6	8	0	0.094333201
7	9	0	0.110055401
8	9	0	0.125777601
9	10	0	0.141499802
10	11	0	0.157222002
11	12	0	0.172944202
12	12	0	0.188666402
13	13	0	0.204388602
14	14	0	0.220110802
15	15	0	0.235833003
16	15	0	0.251555203
17	16	0	0.267277403
18	17	0	0.282999603
19	17	0	0.298721803
20	18	0	0.314444003
21	19	0	0.330166204
22	19	0	0.345888404
23	20	0	0.361610604
24	21	0	0.377332804
25	22	0	0.393055004
26	22	0	0.408777204
27	23	0	0.424499405
28	24	0	0.440221605
29	24	0	0.455943805
30	25	0	0.471666005
31	26	0	0.487388205
32	26	0	0.503110406
33	27	0	0.518832606
34	28	0	0.534554806
35	29	0	0.550277006
36	29	0	0.565999206
37	30	0	0.581721406
38	31	0	0.597443607
39	31	0	0.613165807
40	32	0	0.628888007
41	33	0	0.644610207
42	33	0	0.660332407
43	34	0	0.676054607
44	35	0	0.691776808
45	35	0	0.707499008
46	36	0	0.723221208
47	37	0	0.738943408
48	37	0	0.754665608
49	38	0	0.770387808
50	39	0	0.786110009
51	40	0	0.801832209
52	40	0	0.817554409
53	41	0	0.833276609
54	42	0	0.848998809
55	42	0	0.86472101
56	43	0	0.88044321
57	44	0	0.89616541
58	44	0	0.91188761
59	45	0	0.92760981
60	46	0	0.94333201
61	47	0	0.959054211
62	47	0	0.974776411
63	48	0	0.990498611
64	49	0	1.00622081
65	49	0	1.02194301
66	50	0	1.03766521
67	51	0	1.05338741
68	51	0	1.06910961
69	52	0	1.08483181
70	53	0	1.10055401
71	54	0	1.11627621
72	54	0	1.13199841
73	55	0	1.14772061
74	56	0	1.16344281
75	56	0	1.17916501
76	57	0	1.19488721
77	58	0	1.21060941
78	59	0	1.22633161
79	59	0	1.24205381
80	60	0	1.25777601
81	61	0	1.27349821
82	62	0	1.28922041
83	62	0	1.30494261
84	63	0	1.32066481
85	64	0	1.33638701
86	65	0	1.35210921
87	65	0	1.36783142
88	66	0	1.38355362
89	67	0	1.39927582
90	67	0	1.41499802
91	68	0	1.43072022
92	69	0	1.44644242
93	70	0	1.46216462
94	70	0	1.47788682
95	71	0	1.49360902
96	72	0	1.50933122
97	73	0	1.52505342
98	73	0	1.54077562
99	74	0	1.55649782
100	75	0	1.57222002
101	76	0	1.58794222
102	77	0	1.60366442
103	78	0	1.61938662
104	78	0	1.63510882
105	79	0	1.65083102
106	80	0	1.66655322
107	80	0	1.68227542
108	81	0	1.69799762
109	82	0	1.71371982
110	82	0	1.72944202
111	83	0	1.74516422
112	84	0	1.76088642
113	84	0	1.77660862
114	85	0	1.79233082
115	86	0	1.80805302
116	87	0	1.82377522
117	87	0	1.83949742
118	88	0	1.85521962
119	89	0	1.87094182
120	89	0	1.88666402
121	90	0	1.90238622
122	91	0	1.91810842
123	92	0	1.93383062
124	92	0	1.94955282
125	93	0	1.96527502
126	94	0	1.98099722
127	95	0	1.99671942
128	95	0	2.01244162
129	96	0	2.02816382
130	97	0	2.04388602
131	98	0	2.05960822
132	98	0	2.07533042
133	99	0	2.09105262
134	100	0	2.10677482
135	101	0	2.12249702
136	102	0	2.13821922
137	102	0	2.15394142
138	103	0	2.16966362
139	104	0	2.18538582
140	105	0	2.20110802
141	105	0	2.21683022
142	106	0	2.23255242
143	107	0	2.24827462
144	108	0	2.26399682
145	108	0	2.27971903
146	109	0	2.29544123
147	110	0	2.31116343
148	111	0	2.32688563
149	111	0	2.34260783
150	112	0	2.35833003
151	113	0	2.37405223
152	113	0	2.38977443
153	114	0	2.40549663
154	115	0	2.42121883
155	116	0	2.43694103
156	116	0	2.45266323
157	117	0	2.46838543
158	118	0	2.48410763
159	119	0	2.49982983
160	119	0	2.51555203
161	120	0	2.53127423
162	121	0	2.54699643
163	121	0	2.56271863
164	122	0	2.57844083
165	123	0	2.59416303
166	124	0	2.60988523
167	124	0	2.62560743
168	125	0	2.64132963
169	126	0	2.65705183
170	127	0	2.67277403
171	128	0	2.68849623
172	128	0	2.70421843
173	129	0	2.71994063
174	130	0	2.73566283
175	131	0	2.75138503
176	131	0	2.76710723
177	132	0	2.78282943
178	133	0	2.79855163
179	134	0	2.81427383
180	134	0	2.82999603
181	135	0	2.84571823
182	136	0	2.86144043
183	136	0	2.87716263
184	137	0	2.89288483
185	138	0	2.90860703
186	139	0	2.92432923
187	139	0	2.94005143
188	140	0	2.95577363
189	141	0	2.97149583
190	142	0	2.98721803
191	142	0	3.00294023
192	143	0	3.01866243
193	144	0	3.03438463
194	145	0	3.05010683
195	145	0	3.06582903
196	146	0	3.08155123
197	147	0	3.09727343
198	148	0	3.11299563
199	148	0	3.12871783
200	149	0	3.14444003
201	150	0	3.16016223
202	151	0	3.17588443
203	152	0	3.19160664
204	153	0	3.20732884
205	153	0	3.22305104
206	154	0	3.23877324
207	155	0	3.25449544
208	156	0	3.27021764
209	156	0	3.28593984
210	157	0	3.30166204
211	158	0	3.31738424
212	159	0	3.33310644
213	159	0	3.34882864
214	160	0	3.36455084
215	161	0	3.38027304
216	162	0	3.39599524
217	163	0	3.41171744
218	163	0	3.42743964
219	164	0	3.44316184
220	165	0	3.45888404
221	166	0	3.47460624
222	167	0	3.49032844
223	167	0	3.50605064
224	168	0	3.52177284
225	169	0	3.53749504
226	170	0	3.55321724
227	171	0	3.56893944
228	171	0	3.58466164
229	172	0	3.60038384
230	173	0	3.61610604
231	174	0	3.63182824
232	175	0	3.64755044
233	175	0	3.66327264
234	176	0	3.67899484
235	177	0	3.69471704
236	178	0	3.71043924
237	179	0	3.72616144
238	180	0	3.74188364
239	181	0	3.75760584
240	182	0	3.77332804
241	182	0	3.78905024
242	183	0	3.80477244
243	184	0	3.82049464
244	185	0	3.83621684
245	186	0	3.85193904
246	187	0	3.86766124
247	187	0	3.88338344
248	188	0	3.89910564
249	189	0	3.91482784
250	190	0	3.93055004
251	191	0	3.94627224
252	192	0	3.96199444
253	193	0	3.97771664
254	193	0	3.99343884
255	194	0	4.00916104
